CountryCode,Year,TreeCoverLoss_ha,GrossEmissions_Co2_all_gases_Mg
AGO,2001,4957.597965,3021078.392
ARG,2001,5979.947498,2253298.046
AUS,2001,0.075922367,28.85011952
BDI,2001,6.222929649,3288.072273
BES,2001,0.146931975,61.25723073
BGD,2001,384.7733492,228372.5064
BHS,2001,0.286787751,45.32246863
BLZ,2001,1271.345645,531553.2377
BOL,2001,36529.52788,20209923.06
BRA,2001,465542.9836,293797838
BRN,2001,256.0865366,214955.567
BTN,2001,69.41099624,48861.44288
CAF,2001,3939.636294,2674136.653
CHN,2001,867.2031347,478050.3284
CIV,2001,14045.21731,6240405.382
CMR,2001,8286.756067,5232922.246
COD,2001,92019.98713,62066542.5
COG,2001,7398.989759,4617149.611
COL,2001,24081.67028,15268146.78
COM,2001,1.355913278,790.2335335
CRI,2001,522.0724354,302298.6462
CUB,2001,475.2467288,120296.6329
CYM,2001,2.24888465,487.9166972
DMA,2001,5.049745703,3032.816095
DOM,2001,235.7770419,102535.9562
ECU,2001,4701.192201,3208347.276
ETH,2001,1399.270594,881875.2644
FJI,2001,12.56193165,7127.775799
GAB,2001,5117.83667,3245368.922
GHA,2001,1699.573264,789769.412
GIN,2001,287.9754279,144321.2661
GLP,2001,3.1064586,1732.488861
GNB,2001,8.526838878,2457.573445
GNQ,2001,603.1841641,385746.6878
GTM,2001,3978.866532,2076278.986
GUF,2001,901.7761195,744125.2896
GUY,2001,1834.786579,1270926.25
HND,2001,4747.463721,2643530.551
HTI,2001,9.890339363,4895.717884
IDN,2001,114393.7886,100294139.9
IND,2001,5541.942059,3349485.279
JAM,2001,89.57468489,50108.77275
KEN,2001,2390.693434,1363429.46
KHM,2001,8908.21939,5251174.416
KNA,2001,1.986411944,973.6086127
LAO,2001,10263.04417,6252922.544
LBR,2001,2080.511226,1026559.112
LCA,2001,1.046322965,648.0633936
LKA,2001,115.7572696,49247.88015
MAF,2001,0.439377478,163.7812133
MDG,2001,21193.19047,11529405.88
MDV,2001,0.076408922,0
MEX,2001,8045.036186,3937462.991
MMR,2001,9308.137831,5453343.183
MOZ,2001,47.94843723,23215.20902
MSR,2001,0.442526703,244.7759918
MTQ,2001,1.564203046,880.3409059
MWI,2001,2.529924123,1350.88846
MYS,2001,24068.03917,18959188.88
NGA,2001,3494.915244,1382251.03
NIC,2001,1853.382172,1071311.511
NPL,2001,59.36401164,40502.4349
PAN,2001,1186.935577,741808.8557
PER,2001,28698.56957,19578040.7
PHL,2001,1655.139876,1171269.433
PLW,2001,7.324428847,5944.514993
PNG,2001,10238.09837,8507078.642
PRI,2001,29.02792696,17057.08752
PRY,2001,13533.82066,5085053.937
RWA,2001,10.68536001,6769.242401
SLB,2001,745.6321284,607603.6634
SLE,2001,266.8073696,130797.8989
SLV,2001,11.15520184,6366.611957
SSD,2001,10.96986719,6526.444069
SUR,2001,1144.897275,931813.2183
SXM,2001,0.073239428,33.84646111
TCA,2001,0.572026591,95.83695339
TGO,2001,2.444378671,759.4192431
THA,2001,2035.386225,1229570.131
TTO,2001,83.47129335,39188.93101
TWN,2001,62.83498421,36446.04451
TZA,2001,1579.148056,934303.735
UGA,2001,3741.819698,1908068.143
USA,2001,33.53702004,16052.97256
VCT,2001,0.074952594,40.91272082
VEN,2001,10437.98149,6070087.192
VGB,2001,0.876992507,362.774046
VIR,2001,0.438710097,208.152714
VNM,2001,12002.35246,6995385.865
VUT,2001,17.42882616,10672.83592
ZAF,2001,54.06534504,25739.85162
ZMB,2001,91.93893608,43479.20811
ZWE,2001,8.993982148,4562.742881
AGO,2002,3499.636273,2046401.834
ARG,2002,9316.61364,3401361.522
