CountryCode,Year,TreeCoverLoss_ha,GrossEmissions_Co2_all_gases_Mg
PLW,2001,52.11206112,37588.47154
PNG,2001,36005.1351,25033258.7
POL,2001,19066.10208,5563628.797
PRI,2001,1252.362231,522803.7183
PRK,2001,11945.60949,3022676.444
PRT,2001,24405.37982,6286871.649
PRY,2001,150238.7329,35860163.52
PSE,2001,2.219302278,449.3746318
REU,2001,28.61721413,14580.17406
ROU,2001,17535.52879,6745480.855
RUS,2001,1826600.226,295805468.5
RWA,2001,1516.766321,595886.8275
SDN,2001,26.94295316,6926.102257
SEN,2001,70.59427485,19589.40377
SGP,2001,43.45389467,13271.29372
SLB,2001,2187.117444,1628369.142
SLE,2001,18596.4253,6996953.029
SLV,2001,9499.391624,3361898.593
SOM,2001,339.3039459,71166.21507
SRB,2001,2379.5834,946576.5277
SSD,2001,4906.033993,1223630.265
STP,2001,77.22190502,44438.39818
SUR,2001,3688.947052,2643087.26
SVK,2001,3897.393159,1559971
SVN,2001,615.4603105,254561.3995
SWE,2001,144850.6356,26960872.34
SWZ,2001,6734.853711,3499958.939
SXM,2001,1.318283677,355.0254047
SYC,2001,0.379574768,121.6287134
SYR,2001,267.2352947,66046.1242
TCA,2001,7.72720305,1195.473983
TCD,2001,883.6264799,224458.9015
TGO,2001,2776.230616,743672.2276
THA,2001,36101.94359,18225399.54
TJK,2001,61.53772785,14711.8399
TKM,2001,46.21279329,10115.28078
TLS,2001,677.4261599,391503.4974
TTO,2001,1829.096035,822220.6275
TUN,2001,230.6704347,63727.92327
TUR,2001,22910.00549,5174114.403
TWN,2001,1159.068116,567916.3194
TZA,2001,82214.20404,28945452
UGA,2001,29658.94722,11719382.76
UKR,2001,28826.3802,9011461.966
UMI,2001,2.11971068,0
URY,2001,7647.452723,1720740.769
USA,2001,1943318.744,656477998.8
UZB,2001,294.820902,64523.02949
VCT,2001,6.896545779,3488.112311
VEN,2001,123881.1441,47544158.3
VGB,2001,4.092501168,1572.025199
VIR,2001,122.5133707,42434.77381
VNM,2001,47433.13018,23563988.34
VUT,2001,124.3332979,69639.11542
XAD,2001,1.648989262,355.0411165
XCA,2001,9.735251157,326.5845405
XKO,2001,1122.205429,468790.3402
XNC,2001,17.66158322,4054.68549
ZAF,2001,77644.6906,34420356.28
ZMB,2001,30123.7271,12090999.58
ZWE,2001,8205.934185,2803628.245
ABW,2002,0.526107732,34.35976432
AFG,2002,178.6403638,50016.93763
AGO,2002,61034.22727,20104089.98
AIA,2002,0.146329651,27.13500557
ALA,2002,277.8198771,56651.5536
ALB,2002,889.5171155,337161.5685
AND,2002,1.255022224,512.5847466
ARG,2002,105001.8622,24858209.04
ARM,2002,172.5385912,52829.13069
ATG,2002,17.65604165,5010.571687
AUS,2002,312150.1627,38246836.49
AUT,2002,10902.14988,4488056.237
AZE,2002,1154.205943,282654.072
BDI,2002,986.9362126,308394.2995
BEL,2002,2348.390596,1104861.697
BEN,2002,3480.187346,986649.3165
BES,2002,2.106457457,498.7217119
BFA,2002,4.3029109,1021.247988
BGD,2002,3995.287574,1962980.42
BGR,2002,4638.738812,1208099.024
BHS,2002,700.9761365,151820.093
BIH,2002,692.6588558,268665.9691
BLR,2002,25383.4157,6914718.2
BLZ,2002,13473.73051,5996744.47
BMU,2002,0.717959402,209.1503646
BOL,2002,178807.9712,79062641.46
BRA,2002,3507049.44,1611051645
BRB,2002,11.39198156,3359.313249
BRN,2002,1088.845597,729818.715
BTN,2002,223.9348815,131389.832
BWA,2002,22.78899863,3562.059112
CAF,2002,34417.72161,15417648.33
CAN,2002,2316887.665,347580020.8
CHE,2002,881.3039027,425218.7858
CHL,2002,78080.97298,22641470.8
CHN,2002,249150.9601,94855576.08
CIV,2002,144559.9075,54874822.33
CMR,2002,28766.95157,14935157.23
COD,2002,514476.6882,276887046.6
COG,2002,24310.14238,12621965.5
COL,2002,182229.1524,96720859.33
COM,2002,41.20393423,22475.77133
CPV,2002,22.8340031,0
CRI,2002,13289.14909,6087510.793
CUB,2002,15035.84738,4085866.632
CUW,2002,1.279283688,260.974553
CYM,2002,5.598244417,1225.236362
CYP,2002,31.74324402,6643.281429
CZE,2002,6766.437908,2724441.984
DEU,2002,15303.26237,6438307.907
DMA,2002,11.87470804,6496.098843
DNK,2002,1204.489939,293921.3511
DOM,2002,10435.97987,3686158.706
DZA,2002,3009.833121,788396.5425
ECU,2002,29817.73772,17609835.87
EGY,2002,48.81325058,9549.160868
ESP,2002,37699.01981,10963405.03
EST,2002,21918.38645,4973961.108
ETH,2002,13074.08741,5304671.611
FIN,2002,142432.404,26371690.01
FJI,2002,703.2099391,374810.7821
FRA,2002,33888.39717,12871815.83
GAB,2002,13851.84666,7909894.17
GBR,2002,20112.34996,7015121.878
GEO,2002,536.442198,193538.1534
GGY,2002,0.050347617,8.778783472
GHA,2002,78395.05298,31529791.9
GIB,2002,0.12482941,23.12095613
GIN,2002,28933.47429,10672491.81
GLP,2002,50.88541896,19169.59021
GMB,2002,40.15764074,8580.878238
GNB,2002,6073.797259,1847020.137
GNQ,2002,2986.110544,1888871.49
GRC,2002,5126.049313,1100641.801
GRD,2002,65.83774686,34775.98846
GTM,2002,55600.93461,22703512.86
GUF,2002,2496.703749,1879612.63
GUY,2002,4827.394979,3059513.897
HKG,2002,15.61155641,6747.531024
HND,2002,31528.01233,13281762.21
HRV,2002,2340.179492,799073.7634
HTI,2002,2120.380505,677327.8941
HUN,2002,7711.03737,2626854.571
IDN,2002,855275.863,581099771.8
IMN,2002,13.6648598,3804.419738
IND,2002,53005.48774,25741417.91
IRL,2002,5298.280939,2145836.074
IRN,2002,557.752371,128988.2069
IRQ,2002,10.62006031,2722.419645
ISR,2002,111.7306785,24555.96226
ITA,2002,10931.22755,2948319.309
JAM,2002,1647.570637,734706.908
JEY,2002,0.810373894,236.7797297
JOR,2002,0.196107558,44.02536816
JPN,2002,26154.03983,10103361.44
KAZ,2002,2952.306624,740693.7348
KEN,2002,20287.52622,9995696.499
KGZ,2002,305.4574798,74587.90076
KHM,2002,54862.0762,27744381.44
KNA,2002,19.79075058,7361.465749
KOR,2002,4705.326872,1247603.808
LAO,2002,55936.73071,28816703.18
LBN,2002,81.20045904,17872.79783
LBR,2002,56984.42382,25451311.33
LBY,2002,40.24566353,5461.505655
LCA,2002,10.91096809,5664.949927
LKA,2002,3427.680386,1253706.422
LSO,2002,2.687139564,690.4028946
LTU,2002,10344.83819,2754494.174
LUX,2002,90.45691516,44276.72897
LVA,2002,29175.98819,7469831.801
MAC,2002,0.928207381,5.949882367
MAF,2002,5.418846674,1754.656486
MAR,2002,3923.517827,1048995.297
MDA,2002,229.7964207,58872.50521
MDG,2002,89317.51419,42296799.7
MDV,2002,4.588154946,128.6196796
MEX,2002,158834.1254,49897352.04
MKD,2002,890.1837635,277262.7225
MLI,2002,175.2904428,52500.42985
MLT,2002,1.752961399,435.5994536
MMR,2002,66119.68071,33645470.33
MNE,2002,179.6207712,72612.00698
MNG,2002,18728.01995,3031456.579
MOZ,2002,106658.3376,33891988.44
MSR,2002,1.62272987,794.213966
MTQ,2002,48.86224871,24008.75665
MUS,2002,154.4299605,76895.38428
MWI,2002,4189.572628,1593948.369
MYS,2002,312553.7873,139186214.3
MYT,2002,20.86919036,10832.76464
NAM,2002,108.0072182,21878.76043
NCL,2002,626.8680588,218676.5835
NER,2002,0.676416444,55.79061875
NGA,2002,32346.71006,11441963.27
NIC,2002,54194.49469,26706917.32
NLD,2002,824.5813586,287642.8595
NOR,2002,26635.75319,5399107.393
NPL,2002,2128.64331,1268521.664
NZL,2002,63227.9271,27186576.1
PAK,2002,325.0117524,138824.5938
PAN,2002,19200.13718,9391222.605
PER,2002,80452.08582,49774642.7
PHL,2002,32309.18926,18240419.13
PLW,2002,75.30077104,57438.4824
PNG,2002,54575.5022,37868960.54
POL,2002,31070.13979,9409631.065
PRI,2002,1168.095778,482776.0624
PRK,2002,5358.227207,1390211.564
PRT,2002,34903.34915,8647340.926
PRY,2002,195124.6398,49228352.32
PSE,2002,1.830287115,344.772889
REU,2002,502.6683752,221167.2853
ROU,2002,16356.44545,6590845.162
RUS,2002,2700378.616,376666277.5
RWA,2002,941.338718,314207.9545
SDN,2002,76.10035582,15840.43196
SEN,2002,164.4305544,46747.08127
SGP,2002,123.516999,45256.01417
SLB,2002,3866.106668,2959105.825
SLE,2002,15310.24197,5353133.088
SLV,2002,4666.509817,1715183.437
SMR,2002,0.111479129,17.95364559
SOM,2002,250.8913304,48623.98894
SPM,2002,0.105856563,11.48078256
SRB,2002,1134.989088,452103.0231
SSD,2002,8148.679824,1829359.493
SUR,2002,3717.477562,2662170.754
SVK,2002,4015.732505,1741649.436
SVN,2002,723.8725078,311028.1955
SWE,2002,178208.624,33689044.85
SWZ,2002,3800.765838,1968423.107
SXM,2002,0.439427723,107.4337132
SYC,2002,0.227775334,62.76385603
SYR,2002,147.9991941,38711.70588
TCA,2002,4.652026517,772.6326701
TCD,2002,1958.47583,506105.7004
TGO,2002,2020.785483,539906.4021
THA,2002,60882.18974,30993356.28
TJK,2002,36.63912049,9047.797904
TKM,2002,105.1787401,25798.80367
TLS,2002,1604.598898,904058.0231
TTO,2002,726.0770093,328445.3301
TUN,2002,243.8717387,60281.15008
TUR,2002,25722.22142,5755807.896
TWN,2002,1004.574022,491002.199
TZA,2002,85080.90089,28100148.83
UGA,2002,10840.69681,3717017.714
UKR,2002,27077.01971,8144850.826
UMI,2002,6.505533058,0
URY,2002,6870.11867,1876670.607
USA,2002,2038435.691,669617159.4
UZB,2002,265.2317188,56786.26885
VCT,2002,7.945998949,4026.38411
VEN,2002,90372.37708,33422071.16
VGB,2002,2.996441556,1165.231909
VIR,2002,20.90283313,7980.889589
VNM,2002,49625.43782,24463309.57
VUT,2002,108.2396496,57805.09631
XAD,2002,0.507202227,124.7856954
XCA,2002,23.39391396,1848.551696
XKO,2002,214.9078823,89582.60019
XNC,2002,3.340847417,712.6096403
ZAF,2002,47679.93414,22263097.78
ZMB,2002,46240.24361,16665879.66
ZWE,2002,8016.170851,2591099.354
ABW,2003,0.9770576,79.40695103
AFG,2003,244.3362552,72753.9796
AGO,2003,52461.54547,16307946.51
AIA,2003,1.097745085,172.0987448
ALA,2003,220.7748552,46038.85826
ALB,2003,613.533965,192631.0004
AND,2003,0.342063642,121.5370453
ARG,2003,249155.0069,48155579.47
ARM,2003,395.8166949,135200.0817
ATG,2003,17.07802261,5213.47703
AUS,2003,373846.6091,56637558.24
AUT,2003,14475.69483,5776683.68
AZE,2003,1039.341551,308618.5718
BDI,2003,1325.183318,486963.0104
BEL,2003,1889.777513,904251.0736
BEN,2003,3475.926415,1011673.418
BES,2003,16.15018967,0
BFA,2003,2.038243484,487.3827115
BGD,2003,2159.457158,1055090.147
BGR,2003,5198.715558,1636565.484
BHS,2003,274.2308763,56111.85301
BIH,2003,307.8114117,123325.1281
BLR,2003,32119.38156,8614391.164
BLZ,2003,6843.896175,2982566.932
BMU,2003,0.130570243,26.76527056
BOL,2003,163759.0988,77610109.16
BRA,2003,3248526.734,1478305311
BRB,2003,2.997849387,879.2225351
BRN,2003,799.1767213,512986.103
BTN,2003,543.6007673,279603.9744
BWA,2003,8.572551344,1354.153322
CAF,2003,13726.63788,6675226.183
CAN,2003,1607282.58,306956994.9
CHE,2003,433.2828851,195999.6029
CHL,2003,82843.76404,25789122.6
CHN,2003,261761.4952,88069169.13
CIV,2003,86282.29679,33056018.38
CMR,2003,25344.84636,13633887.31
COD,2003,274739.9994,142677312.6
COG,2003,18514.84252,9796046.961
COL,2003,122417.1448,59335602.79
COM,2003,26.65331395,12524.80366
CPV,2003,8.925222414,0
CRI,2003,8260.607755,4116618.824
CUB,2003,6556.683915,1850783.534
CUW,2003,0.827957708,155.5938914
CYM,2003,6.324797604,1358.691371
CYP,2003,25.22916781,5723.714369
CZE,2003,3925.277971,1643342.793
DEU,2003,6448.617531,2900728.544
DMA,2003,27.23870244,15179.67625
DNK,2003,1579.71326,387235.9879
DOM,2003,10714.00158,4153162.077
DZA,2003,3831.437113,1046125.882
ECU,2003,13835.72643,8139535.728
EGY,2003,61.01187804,12690.06492
ESP,2003,23315.39344,6953223.944
EST,2003,5632.561979,1376179.559
ETH,2003,13936.04122,6369074.791
FIN,2003,89696.55115,16255145.79
FJI,2003,1572.235904,837845.5677
FRA,2003,26393.33418,9918669.188
GAB,2003,16845.22031,9861450.182
GBR,2003,1875.16737,583275.9307
GEO,2003,292.002685,112316.1988
GHA,2003,24955.24902,9781360.309
GIN,2003,9229.458009,3517452.718
GLP,2003,76.87749934,29379.72228
GMB,2003,10.56543665,2393.706949
GNB,2003,1021.877364,331738.4416
GNQ,2003,1961.187536,1206393.602
GRC,2003,2562.535174,586049.2838
GRD,2003,71.34625369,38018.95187
GTM,2003,98173.67565,36514655.68
GUF,2003,1889.081601,1399883.754
GUY,2003,7418.606943,4533061.086
HKG,2003,7.057239355,3433.12
HND,2003,33624.77328,14247219.15
HRV,2003,1738.980492,620682.238
HTI,2003,1070.162075,372273.5641
HUN,2003,5733.022733,2007061.314
IDN,2003,544810.2966,356240372
IMN,2003,1.817298033,526.4216914
IND,2003,47750.63815,22997524.46
IRL,2003,2262.865182,947333.5763
IRN,2003,326.6750206,76222.00453
IRQ,2003,19.61672495,4988.345213
ISR,2003,30.17165819,6355.07196
ITA,2003,3613.191038,921280.0547
JAM,2003,1029.274034,445888.3319
JOR,2003,0.065259603,13.32024218
JPN,2003,19747.36425,7804916.354
KAZ,2003,3351.858901,564203.9025
KEN,2003,13552.81076,6224604.982
KGZ,2003,110.7895604,27827.41452
KHM,2003,56839.5435,27884051.32
KNA,2003,32.14738442,13111.69155
KOR,2003,3611.332973,963874.7183
LAO,2003,87074.13238,44629894.24
LBN,2003,83.57542339,19372.66671
LBR,2003,21604.81357,9841134.44
LBY,2003,25.26571737,4495.57738
LCA,2003,19.4266862,9470.209173
LKA,2003,3149.494821,1184844.539
LSO,2003,2.484692584,631.2819958
LTU,2003,8916.009263,2440584.244
LUX,2003,103.4199707,50240.61602
LVA,2003,21321.4159,5731748.851
MAF,2003,3.295436471,1121.22269
MAR,2003,2042.52646,554133.7289
MDA,2003,100.5993463,26038.81279
MDG,2003,84247.95977,37507277.63
MDV,2003,2.142708274,29.78688272
MEX,2003,152559.2962,48140529.58
MKD,2003,895.2280943,290200.9506
MLI,2003,34.24351147,10906.76772
MMR,2003,77224.46441,39965295.21
MNE,2003,203.6859679,61035.77438
MNG,2003,38433.831,6117689.579
MOZ,2003,79643.95853,26286915.59
MRT,2003,1.256266299,368.17946
MSR,2003,2.286058313,1010.394275
MTQ,2003,288.4695298,144062.5352
MUS,2003,119.6302621,52287.35064
MWI,2003,7112.996717,2593056.198
MYS,2003,183911.2165,105458882.6
MYT,2003,30.92584943,15026.80223
NAM,2003,208.6842167,50240.97555
NCL,2003,883.9158608,343936.6549
NER,2003,0.224596165,37.32102763
NGA,2003,13380.62881,4546445.052
NIC,2003,46963.69084,22257786.24
NLD,2003,309.8542634,112717.3098
NOR,2003,14817.39184,3073780.399
NPL,2003,2291.937476,1361876.984
NZL,2003,44798.28289,19777160.72
PAK,2003,641.697765,267286.8109
PAN,2003,11283.21097,5608526.466
PER,2003,73869.2433,46246812.23
PHL,2003,35154.20535,19864828.92
PLW,2003,17.62527665,11956.0078
PNG,2003,31805.61403,23194651.11
POL,2003,33292.99197,9970531.191
PRI,2003,1194.089454,538998.4712
PRK,2003,7348.877292,2017174.16
PRT,2003,26840.33637,5379871.122
PRY,2003,267309.0875,68692184.43
PSE,2003,1.438763533,277.3202468
REU,2003,142.6275971,61584.45647
ROU,2003,9427.598947,3738285.985
RUS,2003,3030065.85,383382911.5
RWA,2003,1060.927568,425923.4042
SDN,2003,18.66824164,3507.841471
SEN,2003,37.78890445,10382.82001
SGP,2003,18.84275868,6396.437149
SLB,2003,2374.830165,1766740.991
SLE,2003,9098.946831,3556283.571
SLV,2003,5983.700596,2182349.451
SMR,2003,0.055779092,14.49275894
SOM,2003,105.3720153,23365.17649
SRB,2003,864.9410101,350655.9201
SSD,2003,2063.178286,538609.2649
SUR,2003,4545.827243,2946042.305
SVK,2003,3750.001625,1579824.64
SVN,2003,528.3497426,211394.1778
SWE,2003,92592.20487,18430768.15
SWZ,2003,5760.353992,2966785.441
SXM,2003,2.12410459,457.2642759
SYR,2003,114.8063417,28899.68784
TCA,2003,10.37610118,1572.773337
TCD,2003,193.5413761,52706.69785
TGO,2003,2054.056559,612360.5175
THA,2003,58447.9422,29422372.83
TJK,2003,31.86869306,8251.612541
TKM,2003,84.86276665,21533.03618
TLS,2003,690.7395443,402363.4443
TTO,2003,726.4368091,332008.8736
TUN,2003,1539.083728,425642.9544
TUR,2003,17743.88168,3997768.844
TWN,2003,1125.206168,551866.026
TZA,2003,84068.20903,26895404.59
UGA,2003,11980.09565,5157815.562
UKR,2003,38954.86705,11518240.92
URY,2003,10611.51037,3378688.7
USA,2003,1649383.91,553061275
UZB,2003,52.79889595,12546.57857
VCT,2003,9.668587918,4824.608043
VEN,2003,87228.87271,36106505.96
VGB,2003,1.82742184,623.4943882
VIR,2003,39.95442694,14495.96979
VNM,2003,43007.84845,21809208.71
VUT,2003,529.2629618,292973.0293
XCA,2003,8.85048139,405.9096538
XKO,2003,261.3241772,110899.2323
XNC,2003,2.458474056,563.9856776
ZAF,2003,92572.61492,44941641.57
ZMB,2003,41954.73061,16069729.17
ZWE,2003,7312.198341,2684715.036
AFG,2004,201.4449585,55078.33929
AGO,2004,71273.87691,21267358.21
AIA,2004,8.853995905,1585.401943
ALA,2004,735.849796,161178.8134
ALB,2004,3236.59554,1270904.661
AND,2004,22.58937449,8135.160994
ARG,2004,433429.6897,84850833.06
ARM,2004,83.20474395,24074.72186
ATG,2004,25.46325975,7927.32786
AUS,2004,124768.677,36403157.08
AUT,2004,14599.40477,6300071.224
AZE,2004,584.955793,148842.2841
BDI,2004,613.8788333,200084.9667
BEL,2004,4793.340651,2306596.446
BEN,2004,683.6076116,191363.8267
BES,2004,0.297395552,93.22693801
BFA,2004,8.605090964,2140.890343
BGD,2004,4282.539726,2042425.819
BGR,2004,8170.466307,2641869.02
BHS,2004,588.0993715,128145.8332
BIH,2004,4121.820011,1609781.8
BLM,2004,0.146597992,32.65992894
BLR,2004,38596.68301,11559013.86
BLZ,2004,4312.112329,1762248.114
BMU,2004,0.652759236,188.8699303
BOL,2004,203251.4841,89553367.51
BRA,2004,3848770.79,1884753108
BRB,2004,8.319537711,2888.875548
BRN,2004,1197.136196,813831.1793
BTN,2004,1013.177804,618097.5936
BWA,2004,50.65776501,7437.796099
CAF,2004,14588.89728,7223204.669
CAN,2004,2706458.872,534380444
CHE,2004,3829.659122,1786031.048
CHL,2004,85728.78243,27693100.36
CHN,2004,501543.7961,181437238.6
CIV,2004,48048.33722,18385802.01
CMR,2004,23003.29793,12089100.06
COD,2004,400044.274,219253531.5
COG,2004,13832.85006,6755855.172
COL,2004,253840.0087,132575307.4
COM,2004,40.38383805,21179.10043
CPV,2004,0.59513159,0
CRI,2004,9767.049736,4376601.562
CUB,2004,21973.72747,5896473.588
CUW,2004,0.601840548,116.3086444
CYM,2004,47.10307624,12687.12931
CYP,2004,87.55564101,21045.70218
CZE,2004,13453.69086,5541370.562
DEU,2004,44939.9818,20117185.67
DMA,2004,79.35513134,44306.93225
DNK,2004,2413.812853,632234.5641
DOM,2004,19387.94135,7636939.546
DZA,2004,4374.159388,1157847.331
ECU,2004,37249.86389,20050012.24
EGY,2004,101.4492395,19750.40313
ESP,2004,67273.87562,18660115.29
EST,2004,18106.2207,4272387.798
ETH,2004,13396.26216,5768402.876
FIN,2004,146602.3462,28175469.99
FJI,2004,2079.813684,1094309.672
FRA,2004,76134.34456,30424239.95
GAB,2004,9981.655614,5767790.343
GBR,2004,24846.81263,8991001.45
GEO,2004,1967.062715,786557.7508
GGY,2004,0.100761849,24.80875439
GHA,2004,17625.24051,7468374.462
GIN,2004,17158.3261,6006281.721
GLP,2004,191.1700125,77856.80037
GMB,2004,63.0847225,14505.23999
